LanguageHaveWorkedWith,WebframeHaveWorkedWith,ToolsTechHaveWorkedWith,MiscTechHaveWorkedWith,DevType,cluster
HTML/CSS;JavaScript;Kotlin;PHP;Ruby;SQL,Laravel;Ruby on Rails,Composer;Docker;Gradle;Homebrew;Kubernetes;npm;Vite;Webpack;Yarn,,Full-Stack Developer,3
HTML/CSS;JavaScript;PHP,Express;Laravel;Next.js;Node.js;React;Strapi,npm;Vite,,Full-Stack Developer,3
C;C#;C++;Clojure;HTML/CSS;Java;JavaScript;Lua;PHP;Python;Rust;SQL,Angular;AngularJS;ASP.NET;ASP.NET CORE;Astro;Deno;Elm;FastAPI;Htmx;Laravel;NestJS;Next.js;Node.js;Nuxt.js;React;Remix;Svelte,Bun;Composer;Docker;Homebrew;Kubernetes;Make;Maven (build tool);Nix;npm;Pip;pnpm;Terraform;Vite;Webpack;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Apache Kafka;DirectX;Electron;NumPy;OpenGL;Qt;React Native;SwiftUI;Tauri;TensorFlow,Engineering Manager,0
C;C#;C++;Dart;HTML/CSS;JavaScript;PHP;Python;SQL,Flask;jQuery;Node.js;WordPress,npm;Pip;Unity 3D;Unreal Engine,.NET Framework (1.0 - 4.8);Flutter;Qt,Back-End Developer,3
C#;SQL;TypeScript,ASP.NET;React,npm;NuGet;Visual Studio Solution,.NET (5+) ,Full-Stack Developer,0
Go;JavaScript;PHP;TypeScript,Drupal;Next.js;Node.js;React;Symfony,Composer;Docker,,Back-End Developer,3
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;SQL;TypeScript,Next.js;Node.js;React,Docker;Homebrew;Kubernetes;Make;npm;Vite;Yarn,Apache Kafka,Full-Stack Developer,3
R,,,Tidyverse,Data Or Business Analyst,6
C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,ASP.NET CORE;Blazor,Docker;Pulumi,.NET (5+) ;.NET Framework (1.0 - 4.8),Devops Specialist,0
HTML/CSS;JavaScript,Express;jQuery;React,npm;Webpack,Flutter,Front-End Developer,2
Dart;GDScript;Kotlin;TypeScript,NestJS;Spring Boot,Docker;Godot;Gradle;Homebrew;Kubernetes;Yarn,Flutter;Spring Framework,Back-End Developer,3
Bash/Shell (all shells);C++;Dart;Python;SQL,,Google Test;Make;Pip,Flutter,Back-End Developer,3
HTML/CSS;JavaScript;SQL;Swift,Angular;AngularJS;Blazor;Express;Fastify;NestJS;Node.js,Docker;npm;pnpm;Vite,.NET (5+) ,Full-Stack Developer,3
Go;Python;SQL,FastAPI,Docker;Kubernetes;Make;Terraform,,Back-End Developer,3
C;C++;Go;Lua;PowerShell;Python;Ruby;SQL,Htmx;Ruby on Rails,APT;Docker;Kubernetes;Make;MSBuild;NuGet;Pip,Qt,Back-End Developer,3
Go;Python;R;SQL,,Docker;Pip,Keras;NumPy;Opencv;Pandas;Ruff;Scikit-Learn;TensorFlow;Tidyverse,Data Scientist Or Machine Learning Specialist,6
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;Swift;TypeScript,FastAPI;Next.js;Node.js;React;Strapi,Docker;Homebrew;npm;pnpm;Vite;Yarn,NumPy;Opencv;Pandas;React Native;SwiftUI,Full-Stack Developer,3
C;C++;HTML/CSS;JavaScript;MATLAB;PHP;Python;R;SQL;Visual Basic (.Net),Django;Drupal;FastAPI;Flask;WordPress,Docker;Kubernetes;Pip,NumPy;Pandas;Scikit-Learn,Full-Stack Developer,3
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Express;Node.js;React,Docker;Gradle;npm;pnpm;Vite,Capacitor;Ionic;Ruff,Front-End Developer,2
Assembly;C;C++;Java;Kotlin;MATLAB;Python;SQL,,Gradle,,Mobile Developer,4
C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,ASP.NET;ASP.NET CORE;Next.js;Node.js;React,Chocolatey;Docker;MSBuild;npm;NuGet;Pip;Pulumi;Visual Studio Solution;Vite;Webpack;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);NumPy;Pandas,Full-Stack Developer,0
C#;SQL;Visual Basic (.Net),,NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;PowerShell;Python;SQL;VBA,,,,Desktop Or Enterprise Applications Developer,1
Bash/Shell (all shells);C;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Angular;Laravel;Node.js;React;Spring Boot;WordPress,Ansible;Chef;Composer;Kubernetes;Maven (build tool);npm;Terraform,RabbitMQ;Spring Framework,Engineering Manager,6
JavaScript;SQL;TypeScript,NestJS;Node.js,Docker;Kubernetes;npm,Apache Kafka;RabbitMQ,Back-End Developer,3
C++,,MSBuild,CUDA,Desktop Or Enterprise Applications Developer,1
HTML/CSS;Python,Flask;jQuery;Node.js,Pip,Pandas;RabbitMQ,Full-Stack Developer,3
JavaScript;Solidity,,,,Blockchain,3
Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Express;NestJS;Next.js;Node.js;React,Composer;Docker;Homebrew;Make;npm;Vite,React Native,Full-Stack Developer,3
Bash/Shell (all shells);Java,,APT;Gradle;Kubernetes;Maven (build tool),,Back-End Developer,5
C#;C++;HTML/CSS;PowerShell;Python;SQL,,Google Test;NuGet;Visual Studio Solution,,Back-End Developer,3
HTML/CSS;TypeScript,Express;Fastify;Node.js;React;Svelte,npm;Yarn,,Full-Stack Developer,3
HTML/CSS;Java;JavaScript;Objective-C;Python;SQL;Swift,Django;Flask;jQuery,Maven (build tool);npm;Pip,NumPy,Full-Stack Developer,3
Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Node.js;React;Remix,Docker,,Back-End Developer,3
Bash/Shell (all shells);Perl;PHP;SQL,jQuery;Laravel,Ansible;Composer;Docker;Make;Webpack,,"Senior Executive (C-Suite, Vp, Etc.)",6
C#;SQL,ASP.NET;ASP.NET CORE,MSBuild;NuGet;Visual Studio Solution,.NET Framework (1.0 - 4.8),Back-End Developer,0
Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,ASP.NET;ASP.NET CORE;Blazor;Express;Laravel;Next.js;Node.js;Nuxt.js;React;Symfony;Vue.js;WordPress,Composer;Docker;Kubernetes;Make;MSBuild;npm;NuGet;Terraform;Visual Studio Solution;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ;Roslyn,Back-End Developer,0
C;C#;C++;Java;OCaml;Python,,Ant;Docker;Kubernetes;Make;Maven (build tool);npm;Pip;Visual Studio Solution,OpenGL;Pandas;Qt;Scikit-Learn;TensorFlow;Torch/PyTorch,Product Manager,6
C#;SQL,ASP.NET CORE;Blazor,,Roslyn,Full-Stack Developer,3
Elixir;Erlang;Go;Kotlin;PHP;SQL;Zig,Laravel,Docker;Gradle,,Back-End Developer,3
Bash/Shell (all shells);Go;Java;Python;SQL,Spring Boot,Docker;Gradle;Homebrew;Kubernetes;Maven (build tool),Apache Kafka;Quarkus;RabbitMQ;Spring Framework,Back-End Developer,5
C#;Python;TypeScript,Express;Node.js;React,Docker;npm;Yarn,.NET (5+) ,Full-Stack Developer,3
C++,,,,Desktop Or Enterprise Applications Developer,1
Bash/Shell (all shells);PHP;SQL,Symfony,Chocolatey;Composer;Docker;Homebrew;Kubernetes,RabbitMQ,Back-End Developer,3
C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;PowerShell;Python;Rust;SQL;Swift;TypeScript,Angular;ASP.NET;ASP.NET CORE;jQuery;Node.js;React;Spring Boot;Vue.js;WordPress,Docker;Kubernetes;Make;Ninja;npm;NuGet,.NET MAUI;Flutter;Qt;React Native;Xamarin,Back-End Developer,3
C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,ASP.NET;ASP.NET CORE;Node.js;React;Spring Boot,Docker;Gradle;MSBuild;npm;pnpm,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Spring Framework,Full-Stack Developer,0
Bash/Shell (all shells);C;C#;C++;Delphi;PowerShell;SQL,ASP.NET,MSBuild;Visual Studio Solution,.NET Framework (1.0 - 4.8),Desktop Or Enterprise Applications Developer,1
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,Django;Node.js;Svelte,Nix;Vite,CUDA,Product Manager,6
C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,ASP.NET CORE;React,MSBuild;npm;NuGet;Unity 3D;Yarn,.NET (5+) ,Engineering Manager,6
C;C#;C++;Rust,Node.js;React;Vue.js,Vite,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Angular,Docker;MSBuild;NuGet;Webpack,.NET (5+) ,Full-Stack Developer,3
Go;SQL,,Docker;Kubernetes;Terraform,,Back-End Developer,3
C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,ASP.NET CORE;Express;Next.js;Node.js;React;Spring Boot,Kubernetes;npm;NuGet;Unity 3D;Unreal Engine;Webpack,,Full-Stack Developer,3
Bash/Shell (all shells);C;C++;MATLAB;PowerShell;Python,,Docker;Google Test;Kubernetes;MSBuild;Ninja;Unreal Engine;Visual Studio Solution,OpenGL,Engineering Manager,6
C#;SQL,ASP.NET CORE;jQuery,,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Bash/Shell (all shells);PHP;Python;SQL,Django;FastAPI,Docker;Pip,,Back-End Developer,3
Elixir;HTML/CSS;JavaScript;SQL;TypeScript,Gatsby;React,npm;Webpack;Yarn,React Native,Full-Stack Developer,3
HTML/CSS;JavaScript;PHP;SQL,jQuery;Node.js;React;WordPress,Docker;Homebrew;npm;Webpack,,Full-Stack Developer,3
HTML/CSS;JavaScript;Python;SQL;TypeScript,Express;Next.js;Node.js;React,npm;Pip;Vite;Yarn,React Native,Engineering Manager,6
Swift,,Make;Unity 3D,SwiftUI,Mobile Developer,4
Bash/Shell (all shells);Java;Python;SQL,,Ansible;Docker;Kubernetes;Maven (build tool);Pip,RabbitMQ;Spring Framework,Back-End Developer,5
Ada;Assembly;C;C#;C++;Python;Zephyr,,Docker;MSBuild;Ninja;Pip;Podman;Visual Studio Solution,.NET (5+) ;CUDA;NumPy;Opencv;OpenGL;Pandas;Qt,Embedded Applications Or Devices Developer,1
Assembly;C#;SQL,ASP.NET;ASP.NET CORE,NuGet;Visual Studio Solution,.NET Framework (1.0 - 4.8),Back-End Developer,0
C#;HTML/CSS;Java;JavaScript;PowerShell;Python,Flask;Spring Boot,Docker;Gradle;Kubernetes;NuGet,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Rust;SQL;TypeScript,Laravel;Next.js;Node.js;React;Spring Boot;Svelte,Composer;Docker;Gradle;Homebrew;Kubernetes;Make;npm;Terraform;Vite;Webpack;Yarn,Spring Framework,Full-Stack Developer,3
Go;SQL,,Docker;Homebrew;Make,Apache Kafka,Back-End Developer,3
Bash/Shell (all shells);C#;JavaScript;PowerShell;SQL;TypeScript,ASP.NET;ASP.NET CORE;Node.js,Chocolatey;Docker;Homebrew;Kubernetes;MSBuild;npm;NuGet;Podman;Terraform,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,Project Manager,0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,ASP.NET;Node.js;Vue.js,Ansible;Docker;Kubernetes;MSBuild;NuGet;Terraform;Unity 3D;Unreal Engine;Visual Studio Solution,.NET (5+) ;Capacitor;OpenGL;Roslyn,Devops Specialist,6
GDScript;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Angular;AngularJS;jQuery;Spring Boot;Vue.js,Godot;Maven (build tool);Unreal Engine,Cordova;Ionic,Full-Stack Developer,3
C#;SQL,ASP.NET;ASP.NET CORE;Blazor,MSBuild;Visual Studio Solution,.NET (5+) ,Back-End Developer,0
C++;MATLAB;Python,,Terraform,NumPy,Research & Development Role,6
C#;JavaScript;PowerShell;SQL,ASP.NET;jQuery,NuGet;Visual Studio Solution,.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;Visual Basic (.Net),ASP.NET;jQuery;WordPress,Docker;NuGet;Unity 3D;Unreal Engine;Visual Studio Solution,.NET (5+) ,Full-Stack Developer,0
C#;SQL,ASP.NET;WordPress,MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Desktop Or Enterprise Applications Developer,0
Go;HTML/CSS;JavaScript;TypeScript,Node.js;React,Docker;Homebrew,SwiftUI,Full-Stack Developer,3
Bash/Shell (all shells);Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;Swift;TypeScript,Next.js;Node.js;React;Remix;Solid.js,Chocolatey;Dagger;Docker;Gradle;Homebrew;npm;Pip;Vite;Webpack;Yarn,Capacitor;Ionic,Mobile Developer,4
C;C#;C++;HTML/CSS;Java;JavaScript;Python;R;SQL,Flask;Spring Boot,Gradle;Kubernetes;Make;Maven (build tool);Pip;Unity 3D,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;NumPy;Opencv;Pandas;Spring Framework,Full-Stack Developer,0
C++;Clojure;Python,,Pip,,Back-End Developer,3
Bash/Shell (all shells);C;C++;Python,,APT;Docker;Google Test;Homebrew;Make;Ninja;Pacman,NumPy;Qt;Scikit-Learn,Full-Stack Developer,3
C#;C++;HTML/CSS;SQL,,Make;Ninja,Qt,Desktop Or Enterprise Applications Developer,1
Bash/Shell (all shells);Python;SQL,,Docker;Maven (build tool),Apache Spark;Hadoop;Pandas,Data Or Business Analyst,6
JavaScript;Python;TypeScript,Angular;Express;Node.js;Vue.js,npm;Pip;Webpack,Pandas,Full-Stack Developer,3
Bash/Shell (all shells);Delphi;JavaScript;PHP;SQL,,Composer;MSBuild,OpenGL,Desktop Or Enterprise Applications Developer,1
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PowerShell;SQL,jQuery,Maven (build tool),.NET Framework (1.0 - 4.8),Full-Stack Developer,0
JavaScript;TypeScript,Express;React,npm;Yarn,,"Senior Executive (C-Suite, Vp, Etc.)",6
HTML/CSS;JavaScript;SQL;TypeScript,Next.js;Node.js;React,Chocolatey;Docker,React Native,Full-Stack Developer,3
HTML/CSS;Java;JavaScript;Kotlin;Lua;MATLAB;Python;Swift;TypeScript;Visual Basic (.Net),Angular;Node.js;Spring Boot,Ansible;Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);npm;Pip;pnpm;Podman,Apache Kafka;Flutter;NumPy;RabbitMQ;TensorFlow,Full-Stack Developer,3
HTML/CSS;JavaScript;Python;SQL,Angular;Next.js;Node.js;React;Vue.js,Ansible;Docker;Kubernetes,NumPy;Pandas,Back-End Developer,3
C#;VBA;Visual Basic (.Net),ASP.NET;ASP.NET CORE,Visual Studio Solution,,Front-End Developer,0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,AngularJS;ASP.NET;ASP.NET CORE;Express;jQuery;Next.js;Node.js;React;Ruby on Rails,Ant;APT;Chocolatey;Docker;MSBuild;npm;NuGet;Pip;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;NumPy;Pandas;Scikit-Learn,Security Professional,0
C#;HTML/CSS;JavaScript;Kotlin;Swift;TypeScript,Angular;ASP.NET;ASP.NET CORE,Dagger;npm;NuGet,.NET (5+) ;Ktor;SwiftUI,Full-Stack Developer,3
HTML/CSS;JavaScript;TypeScript,Angular;Express;NestJS;Node.js,,,Full-Stack Developer,3
Bash/Shell (all shells);C#;C++;Java;Kotlin;Objective-C;Python;SQL;Swift;TypeScript,Node.js,Gradle;Homebrew;MSBuild;Ninja;npm;NuGet;Pip;Unity 3D;Visual Studio Solution,.NET (5+) ;TensorFlow,Mobile Developer,4
,jQuery;Node.js,,,Desktop Or Enterprise Applications Developer,1
Bash/Shell (all shells);Groovy;HTML/CSS;JavaScript;Lua;Python;Ruby,Express;Node.js,Docker;npm,,Site Reliability Engineer,6
Ada,,,,Product Manager,6
HTML/CSS;JavaScript;PHP;SQL,Laravel;Node.js,npm;Vite,,Full-Stack Developer,3
Bash/Shell (all shells);Clojure;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;Scala;SQL;Swift;TypeScript;Visual Basic (.Net),Angular;AngularJS;CodeIgniter;Express;Flask;jQuery;Next.js;Node.js;Play Framework;React;Ruby on Rails;WordPress,Composer;Docker;Gradle;Homebrew;Kubernetes;Make;npm;pnpm;Pulumi;Webpack;Yarn,Cordova;Electron;Ionic;Pandas;React Native,Full-Stack Developer,3
HTML/CSS;JavaScript;Python;R;SQL;VBA,Flask;Node.js,Docker;Homebrew;npm;Pip,Hugging Face Transformers;Keras;NumPy;Pandas;Scikit-Learn;TensorFlow;Tidyverse;Torch/PyTorch,Data Or Business Analyst,6
HTML/CSS;JavaScript;Python;SQL,Django;FastAPI,Docker;npm;Pip,,Engineering Manager,6
Assembly;Bash/Shell (all shells);C;C++;Perl;Python,,Docker;Make;Pip,,Back-End Developer,3
C#;Delphi;HTML/CSS;JavaScript;SQL;TypeScript,Drupal;Express;Next.js;Node.js;React,Docker;npm;Unity 3D;Yarn,,Engineering Manager,6
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;TypeScript,Angular;CodeIgniter;Express;jQuery;Next.js;Node.js;React;Vue.js;Yii 2,Docker;npm;pnpm;Webpack;Yarn,RabbitMQ,Full-Stack Developer,3
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;TypeScript,ASP.NET CORE;Express;jQuery;Node.js;Svelte,npm;Vite;Webpack,.NET (5+) ,Front-End Developer,2
HTML/CSS;JavaScript;PHP;SQL;TypeScript,Laravel;Nuxt.js;Svelte;Vue.js,Composer;npm;pnpm;Vite;Yarn,React Native,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE,Docker;NuGet;pnpm,.NET (5+) ,Full-Stack Developer,0
Bash/Shell (all shells);HTML/CSS;OCaml;Python;SQL,,Docker;Pip,Keras;NumPy;Pandas;Scikit-Learn;TensorFlow,Data Scientist Or Machine Learning Specialist,6
C#;HTML/CSS;Java;JavaScript,ASP.NET;jQuery,MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,Full-Stack Developer,0
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,Flask;Laravel;Next.js;Node.js;React,Docker;npm;Pacman,Electron,Back-End Developer,3
HTML/CSS;Java;JavaScript;SQL;TypeScript,Angular;Spring Boot,Ansible;Maven (build tool),Apache Kafka,Full-Stack Developer,5
HTML/CSS;JavaScript;PHP;R;SQL;TypeScript,Angular;Express;jQuery;Laravel;Next.js;Node.js;React;Vue.js;WordPress,npm;Pip;Vite,,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;PowerShell;SQL;VBA;Visual Basic (.Net),ASP.NET;ASP.NET CORE;jQuery,NuGet,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,jQuery;Node.js;React;WordPress,Docker;npm;Yarn,,Full-Stack Developer,3
C#;HTML/CSS;JavaScript,ASP.NET;jQuery,MSBuild;NuGet;Visual Studio Solution,.NET Framework (1.0 - 4.8),Back-End Developer,0
Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;Ruby;Rust;Scala;SQL,Flask;Play Framework;React;Spring Boot,Ansible;Docker;Gradle;Homebrew;Kubernetes;Maven (build tool);npm;Pip;Terraform;Unity 3D,Apache Kafka;Spring Framework,Back-End Developer,5
Java;JavaScript;SQL;TypeScript,Angular,Docker;Gradle;npm;Pip;Webpack,Hugging Face Transformers;NumPy;Spring Framework;TensorFlow,"Senior Executive (C-Suite, Vp, Etc.)",6
HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Express;NestJS;Next.js;Node.js;React,Docker;Homebrew;Kubernetes;npm;Terraform;Vite;Webpack;Yarn,Apache Kafka;Electron;Hugging Face Transformers,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Express;jQuery;Node.js;Vue.js;WordPress,Docker;MSBuild;npm;NuGet;Visual Studio Solution;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8),Engineering Manager,0
HTML/CSS;JavaScript;TypeScript,Express;Fastify;Next.js;Node.js;React;Remix,Docker;Homebrew;Kubernetes;npm;Webpack;Yarn,,Full-Stack Developer,3
Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Python;SQL,Django;jQuery;WordPress,Make;NuGet;Visual Studio Solution,.NET (5+) ;Opencv,"Senior Executive (C-Suite, Vp, Etc.)",6
C#,ASP.NET CORE,Docker;npm;NuGet;Terraform,.NET (5+) ,Blockchain,3
HTML/CSS;JavaScript;PHP;Python;SQL,jQuery;Laravel,APT;npm,Hugging Face Transformers,Back-End Developer,3
C#;Groovy;HTML/CSS;Java;JavaScript;OCaml;PowerShell;SQL;TypeScript,ASP.NET;ASP.NET CORE;Blazor,Ant;Chocolatey;Docker;Kubernetes;Maven (build tool);MSBuild;npm;NuGet;Visual Studio Solution;Webpack;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Dart;HTML/CSS;Python;Rust;TypeScript,React,npm;Pip;Vite;Yarn,Flutter,Desktop Or Enterprise Applications Developer,1
HTML/CSS;JavaScript,Node.js,npm;Webpack,,Back-End Developer,3
Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Angular;Node.js;Spring Boot,Ant;Composer;Docker;Maven (build tool);npm;Pip,Keras;NumPy;Pandas;Spring Framework;TensorFlow,Project Manager,6
Assembly;C;C++;HTML/CSS;JavaScript;Lua;Python;SQL;TypeScript,Angular;Flask;NestJS;Next.js;Node.js;React,APT;Docker;Homebrew;Make;npm;Pip,,Full-Stack Developer,3
Bash/Shell (all shells);HTML/CSS;Java;JavaScript,Express;jQuery;Node.js;React,Docker;Maven (build tool);npm,,Back-End Developer,5
C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Angular;ASP.NET CORE;React,Docker;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution;Yarn,.NET (5+) ;Roslyn,Full-Stack Developer,3
HTML/CSS;JavaScript;Python,,Make;npm;Pip,NumPy;Opencv;Pandas;RabbitMQ;Scikit-Learn;Torch/PyTorch,Full-Stack Developer,3
Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,AngularJS;ASP.NET;ASP.NET CORE;Django;FastAPI;Flask;jQuery;Node.js;React;Spring Boot,APT;Docker;Kubernetes;Make;Maven (build tool);Podman;Visual Studio Solution,.NET (5+) ;Apache Spark;NumPy;Opencv;Pandas;Qt;Spring Framework,Back-End Developer,5
C++;Dart;Java;Lua;Python;SQL;Swift,,Chocolatey;Docker;Homebrew;Make;Maven (build tool);npm,Flutter;Hadoop;NumPy;Opencv;Pandas;Qt,Mobile Developer,4
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL;TypeScript,Express;Next.js;React,Ansible;Docker;Podman;Yarn,,Full-Stack Developer,3
Groovy;HTML/CSS;Java;JavaScript;Scala;SQL;TypeScript,Express;jQuery;Node.js;React;Spring Boot,Docker;Gradle;Homebrew;Kubernetes;Make;Maven (build tool);npm;Pip;Terraform;Visual Studio Solution;Webpack,Apache Kafka;Apache Spark;Hadoop;Spring Framework,Full-Stack Developer,5
Bash/Shell (all shells);Delphi;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Angular;AngularJS;Htmx;jQuery;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js,Docker,,Ai Developer,3
JavaScript;PHP;Swift;TypeScript,CodeIgniter;Next.js;React,,React Native;SwiftUI,Mobile Developer,4
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;MicroPython;Visual Basic (.Net),Next.js;Node.js;React,Bun;Docker;Godot;Homebrew;npm;NuGet;pnpm;Vite;Webpack;Yarn,Electron;React Native;Roslyn,Full-Stack Developer,3
Java;JavaScript;PowerShell;Python,jQuery,Ant;Docker;Gradle;Pip,Qt,Full-Stack Developer,3
Assembly;C;C#;C++;Go;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;Ruby;SQL;TypeScript,AngularJS;ASP.NET;Django;Express;FastAPI;Flask;jQuery;Laravel;NestJS;Next.js;Node.js;Nuxt.js;React;Remix;Ruby on Rails;Vue.js,Docker;Homebrew;Make;npm;Pip;Visual Studio Solution;Vite;Webpack;Yarn,.NET Framework (1.0 - 4.8);Apache Kafka;MFC;NumPy;Opencv;OpenGL;Pandas;Qt;React Native,Full-Stack Developer,3
Assembly;C;C#;C++;Crystal;HTML/CSS;JavaScript;Lua;MicroPython;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;Node.js;React;Vue.js,Chocolatey;npm;NuGet;Pip;Vite,.NET (5+) ;.NET Framework (1.0 - 4.8);Roslyn,Full-Stack Developer,0
Bash/Shell (all shells);C#;JavaScript;PowerShell;Python;SQL,,Docker;Pip,Pandas,Cloud Infrastructure Engineer,6
C#;JavaScript;Python;TypeScript,ASP.NET;ASP.NET CORE;Node.js,MSBuild;npm;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
Bash/Shell (all shells);JavaScript;Ruby;Rust;TypeScript,Angular;Astro;Express;Fastify;NestJS;Next.js;React;Ruby on Rails;Solid.js;Vue.js,Docker;Kubernetes;npm;pnpm;Vite;Webpack;Yarn,Electron,Full-Stack Developer,3
Java,,,,Back-End Developer,3
Java;PowerShell,Spring Boot,Gradle,,Back-End Developer,5
C++;GDScript;Java;Lua;Python;Scala;TypeScript,Flask;Node.js;Nuxt.js;React;Vue.js,Ansible;Godot;Homebrew;Make;npm;Pip;pnpm;Unity 3D;Unreal Engine;Vite;Webpack;Yarn,Apache Kafka;Apache Spark;Hadoop;NumPy;OpenGL;Pandas,Full-Stack Developer,3
C#;C++;GDScript;Groovy;Haskell;Java;JavaScript;Python;R;SQL;VBA,Flask;Node.js,Docker;Godot;Pip,NumPy;Scikit-Learn,Scientist,6
Go;HTML/CSS;JavaScript;PHP;SQL,Laravel;Symfony;Vue.js,Composer;Docker;Kubernetes;Make;npm;Vite;Webpack;Yarn,,Full-Stack Developer,3
Delphi;Go;Ruby,jQuery,Ansible;APT;Make,,Full-Stack Developer,3
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL;TypeScript,Angular;ASP.NET CORE;Astro;Express;NestJS;Node.js,APT;Chocolatey;Docker;MSBuild;npm;NuGet;Terraform;Visual Studio Solution;Vite;Webpack;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;RabbitMQ,"Senior Executive (C-Suite, Vp, Etc.)",0
C#;C++;Kotlin;Lua;MicroPython;PowerShell;Python;Ruby;SQL;Zephyr,,MSBuild;Ninja;Pacman;Pip;Unreal Engine;Visual Studio Solution,.NET (5+) ;CUDA;DirectX;MFC;OpenCL;Opencv;OpenGL;Qt,Engineering Manager,6
