LanguageHaveWorkedWith,WebframeHaveWorkedWith,ToolsTechHaveWorkedWith,MiscTechHaveWorkedWith,DevType,cluster
Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript;VBA,Angular;ASP.NET;ASP.NET CORE;Node.js;React;Solid.js,Docker;Make;MSBuild;Pip;pnpm;Unity 3D;Vite;Webpack;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;Qt;React Native;Tauri,Full-Stack Developer,0
C;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Angular;AngularJS;Node.js;Spring Boot,Docker;Maven (build tool);npm,,Full-Stack Developer,5
C#;HTML/CSS;JavaScript;SQL,ASP.NET CORE;jQuery,MSBuild;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ,Full-Stack Developer,0
C++;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;Python;SQL;TypeScript,Express;jQuery;Laravel;Node.js,Docker;Gradle;npm,NumPy;Pandas;TensorFlow,Back-End Developer,3
C#;JavaScript;Lua,ASP.NET CORE;Express,Webpack,.NET (5+) ,Full-Stack Developer,3
Python,FastAPI,Docker;Homebrew;Pip,Apache Kafka;Ruff,Back-End Developer,3
Bash/Shell (all shells);C#;Java;PowerShell;Python;SQL,,,,Back-End Developer,3
C#;JavaScript;SQL;TypeScript,Angular;AngularJS;ASP.NET;ASP.NET CORE;jQuery,MSBuild;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);Roslyn,Back-End Developer,0
PowerShell;Ruby,,Ansible;Docker,,Devops Specialist,6
Java,Spring Boot,Maven (build tool),Apache Kafka,Engineering Manager,5
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE;Vue.js,Chocolatey;Docker;Homebrew;MSBuild;npm;NuGet;Terraform;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8);Flutter,Full-Stack Developer,0
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Perl;Python;SQL;TypeScript,Express;FastAPI;Fastify;jQuery;Node.js;React;Spring Boot,Docker;Gradle;Homebrew;npm;pnpm;Terraform;Vite;Webpack,Electron;Spring Framework;TensorFlow,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;SQL;Visual Basic (.Net),ASP.NET;ASP.NET CORE;jQuery,Kubernetes;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
C#;PowerShell;SQL,ASP.NET;ASP.NET CORE;Blazor;React,MSBuild;npm;NuGet;Visual Studio Solution;Vite;Yarn,.NET (5+) ;.NET MAUI;Xamarin,Full-Stack Developer,0
Assembly;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,Angular;AngularJS;Express;FastAPI;Flask;jQuery;Node.js,Docker;Homebrew;Pip,Apache Kafka;Apache Spark;CUDA;Hadoop;Hugging Face Transformers;Keras;NumPy;OpenCL;Opencv;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Data Scientist Or Machine Learning Specialist,6
C++;Python;R,Flask,Visual Studio Solution,Qt,Desktop Or Enterprise Applications Developer,1
Ada;Assembly;Bash/Shell (all shells);C;C++;Clojure;Crystal;Dart;Elixir;Erlang;Fortran;Go;Groovy;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;OCaml;Perl;PowerShell;Python;R;Rust;Scala;SQL;TypeScript;Zig,Deno;FastAPI;Htmx;Next.js;Phoenix;React;Remix;Svelte;Vue.js,Ansible;Docker;Homebrew;Make;Maven (build tool);Ninja;npm;Pacman;Pip;pnpm;Unreal Engine;Vite;Webpack,NumPy;Pandas;Qt;Tidyverse,Full-Stack Developer,3
HTML/CSS;JavaScript,Node.js;React,npm,Flutter;Ionic;React Native,Designer,3
Groovy;HTML/CSS;Java;JavaScript;Python,React;Vue.js,Gradle;Maven (build tool),,Database Administrator,3
Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python;SQL;TypeScript,Flask;Node.js;React;WordPress,Composer;Docker;npm;Pip;Vite;Webpack;Yarn,Capacitor;Cordova;Electron;Ionic;Opencv;React Native,Full-Stack Developer,3
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL,Django;Htmx;Spring Boot;Vue.js;WordPress,Docker;Gradle;npm;Pip;Terraform;Vite,Pandas;Spring Framework,Full-Stack Developer,3
C#;JavaScript;TypeScript,,APT;Docker;Homebrew;Kubernetes;MSBuild;NuGet;Pip;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;Roslyn,Engineering Manager,0
C#;PowerShell;Rust,ASP.NET CORE,Docker;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Desktop Or Enterprise Applications Developer,0
Go;HTML/CSS;JavaScript;Python;TypeScript,Next.js;Node.js;React;Svelte,Ansible;Docker;Homebrew;Kubernetes;Make;npm;Pip;Terraform,,Full-Stack Developer,3
C;Python,Django;FastAPI;Flask,Ansible;APT;Docker;Godot;Pip,NumPy;Pandas,Devops Specialist,6
Bash/Shell (all shells);C;C++;Go;JavaScript;Python,,Google Test,,Back-End Developer,3
C#;C++;HTML/CSS;JavaScript;Kotlin;Lua;PowerShell;SQL,ASP.NET;Express;Node.js;React,Docker;Gradle;MSBuild;npm;Webpack,,Desktop Or Enterprise Applications Developer,1
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,ASP.NET CORE;Express;FastAPI;Node.js;Vue.js,APT;Chocolatey;Docker;Make;MSBuild;npm;NuGet;Pip;Terraform;Vite;Webpack,Pandas,Full-Stack Developer,3
HTML/CSS;Python;Rust,Django,Docker;Pacman,,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;SQL;VBA;Visual Basic (.Net),ASP.NET CORE;Blazor;jQuery,Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);RabbitMQ;Xamarin,Full-Stack Developer,0
C;C++;HTML/CSS;Java;JavaScript;PHP;SQL;Visual Basic (.Net),ASP.NET;CodeIgniter;Node.js;WordPress,npm,NumPy,Security Professional,3
Python,,,,Designer,3
C;C++;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Angular;AngularJS;Django;Next.js;Node.js,Ant;Chocolatey;Docker;Gradle;Make;Maven (build tool);npm;Yarn,Apache Kafka;Apache Spark;Quarkus,"Senior Executive (C-Suite, Vp, Etc.)",6
GDScript;JavaScript;PHP,AngularJS,,,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;PHP;PowerShell,ASP.NET CORE;Blazor;jQuery;WordPress,Chocolatey;Docker;Kubernetes;MSBuild;NuGet;Unity 3D;Visual Studio Solution,.NET (5+) ;.NET MAUI;Xamarin,Full-Stack Developer,0
C#;HTML/CSS;JavaScript;PHP;SQL,ASP.NET;ASP.NET CORE;Blazor;Laravel;WordPress,Make;npm;Vite,,Full-Stack Developer,3
Bash/Shell (all shells);C#;JavaScript,,NuGet,.NET (5+) ;.NET MAUI,Mobile Developer,4
Bash/Shell (all shells);C;C++;Java;Python,Spring Boot,Make;Maven (build tool),CUDA,Full-Stack Developer,5
C#;JavaScript;PowerShell;SQL,jQuery;React,Chocolatey;npm;NuGet;Unreal Engine;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
C;C#;C++;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,ASP.NET;ASP.NET CORE;Next.js;Node.js,npm;Pip;Unity 3D;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);Electron;OpenGL;TensorFlow,Game Or Graphics Developer,0
Bash/Shell (all shells);Go;SQL,,Docker,Apache Kafka,Back-End Developer,3
C#;JavaScript;SQL;TypeScript,ASP.NET;ASP.NET CORE;Blazor;jQuery;Node.js;React;WordPress,Docker;MSBuild;npm;NuGet;Pip;Visual Studio Solution;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI,Full-Stack Developer,0
Go;PHP;Python;SQL,Symfony;Vue.js,Ansible;Composer;Docker;Kubernetes;Make;Pacman;Terraform;Webpack,Cordova;RabbitMQ,Back-End Developer,3
C#;HTML/CSS;Java;JavaScript;PHP;SQL;VBA;Visual Basic (.Net),ASP.NET;ASP.NET CORE,MSBuild;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka,Back-End Developer,0
Bash/Shell (all shells);Go;HTML/CSS;Python,,,,Back-End Developer,3
C#;HTML/CSS;VBA,ASP.NET,NuGet;Visual Studio Solution,.NET (5+) ,Desktop Or Enterprise Applications Developer,1
C#;PowerShell;SQL,ASP.NET CORE;Blazor,NuGet,.NET (5+) ;RabbitMQ,Full-Stack Developer,3
C;C#;HTML/CSS;Java;Python;SQL,ASP.NET;ASP.NET CORE;jQuery;Node.js;WordPress,Visual Studio Solution,.NET (5+) ;.NET MAUI;NumPy;Pandas;SwiftUI;Xamarin,Mobile Developer,0
Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;TypeScript,Node.js;React;Vue.js,npm;Vite;Webpack;Yarn,Electron,Front-End Developer,2
JavaScript;TypeScript,Next.js;Node.js;React,npm;Vite;Webpack;Yarn,,Front-End Developer,2
C#,,Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Desktop Or Enterprise Applications Developer,0
Bash/Shell (all shells);C;C++;Kotlin;PowerShell;Python;Rust,,Ansible;Docker;Google Test;Homebrew;Make;Ninja;npm,NumPy,Research & Development Role,6
Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,Angular;Express;Fastify;jQuery;NestJS;Next.js;Node.js;React,APT;Bun;Chocolatey;Composer;Docker;Gradle;Kubernetes;npm;Pip;pnpm;Vite;Webpack,Capacitor;CUDA;Electron;Hugging Face Transformers;Keras;NumPy;Opencv;Pandas;React Native;Scikit-Learn;TensorFlow;Torch/PyTorch,Data Scientist Or Machine Learning Specialist,6
C#;Go;Python;SQL,ASP.NET;ASP.NET CORE,Docker;MSBuild;NuGet;Terraform,.NET (5+) ;.NET Framework (1.0 - 4.8),Back-End Developer,0
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,Angular;jQuery;React;WordPress,Gradle;npm;Unity 3D;Yarn,Capacitor;Cordova;Ionic,Full-Stack Developer,3
Bash/Shell (all shells);HTML/CSS;JavaScript;SQL,Express;Node.js,Docker;Kubernetes;npm,,Data Or Business Analyst,6
Go,,Docker;Homebrew;Make,,Back-End Developer,3
HTML/CSS;Java;JavaScript;Python;TypeScript,Elm;Express;FastAPI;Fastify;Gatsby;NestJS;Next.js;Node.js;Nuxt.js;React;Vue.js,Chocolatey;Docker;Homebrew;Kubernetes;Maven (build tool);npm;pnpm;Vite;Webpack;Yarn,Apache Kafka;Apache Spark;Flutter;React Native,Engineering Manager,6
HTML/CSS;Kotlin;Objective-C;Python;Ruby;Swift;TypeScript,Angular;WordPress,Docker;Homebrew;npm,Ionic,Front-End Developer,2
Go;Python,Django;FastAPI;React,Docker;Kubernetes;Pip,Apache Kafka;NumPy;Pandas;Torch/PyTorch,Back-End Developer,3
Assembly;Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;Kotlin;Python;Rust;SQL,,Chocolatey;Homebrew;Kubernetes;Make;Maven (build tool);Pip;Unity 3D;Unreal Engine;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;CUDA;Flutter;Qt;SwiftUI;TensorFlow;Torch/PyTorch,Full-Stack Developer,0
C#;C++;HTML/CSS;JavaScript;PowerShell;SQL,ASP.NET;ASP.NET CORE;jQuery,MSBuild;npm;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Bash/Shell (all shells);C#;HTML/CSS;JavaScript;SQL,ASP.NET CORE;Svelte;Vue.js,APT;Docker;Homebrew;MSBuild;npm;NuGet;Visual Studio Solution;Vite;Webpack;Yarn,.NET (5+) ;Roslyn,Full-Stack Developer,3
C++,,,,Desktop Or Enterprise Applications Developer,1
JavaScript;TypeScript,NestJS;Next.js;Node.js;React,Homebrew;npm;Webpack;Yarn,React Native,Engineering Manager,6
HTML/CSS;JavaScript;PHP;SQL,Symfony;Vue.js,Composer;npm;Webpack,,Back-End Developer,3
Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;Rust;SQL,ASP.NET CORE;Blazor;Flask;React,Composer;Docker;Gradle;Make;Maven (build tool);MSBuild;npm;NuGet;Visual Studio Solution,.NET (5+) ;CUDA,Full-Stack Developer,3
C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,Fastify;jQuery;Laravel;Next.js;Node.js;React;WordPress,Composer;Homebrew;npm;Pip;Vite;Webpack,.NET (5+) ;Electron;NumPy;Pandas;Scikit-Learn;TensorFlow;Torch/PyTorch,Full-Stack Developer,3
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,Express;jQuery;Node.js,APT;Chocolatey;Homebrew;Kubernetes;npm;Pip;Yarn,Electron;TensorFlow,Full-Stack Developer,3
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;TypeScript,Express;NestJS;Next.js;Node.js,Ansible;Docker;Homebrew;Kubernetes;npm;Terraform;Yarn,Capacitor;Ionic;RabbitMQ,Full-Stack Developer,3
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Express;Flask;Next.js;Node.js;React;WordPress,APT;Chocolatey;Make;npm;Pip;Visual Studio Solution;Vite,React Native,Full-Stack Developer,3
Bash/Shell (all shells);Dart;JavaScript;Python;SQL,Express;Flask;Node.js;React;Spring Boot;WordPress,Docker;Kubernetes;Maven (build tool);npm;Terraform,Flutter;React Native,Devops Specialist,6
C;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Angular;Drupal;jQuery;Laravel;React;Vue.js,Composer;Docker;npm;Yarn,Pandas,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net),ASP.NET;ASP.NET CORE;Blazor;jQuery,NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Bash/Shell (all shells);Dart;Python;Swift,,,Flutter;SwiftUI,Mobile Developer,4
HTML/CSS;SQL;VBA,,,,Data Or Business Analyst,6
Go;Java;JavaScript;Kotlin;PHP;Python;SQL,React;Vue.js,Docker,Spring Framework,Full-Stack Developer,5
C#;HTML/CSS;JavaScript;SQL;TypeScript,ASP.NET CORE;jQuery,NuGet,.NET (5+) ,Full-Stack Developer,0
Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Express;Htmx;jQuery;Node.js;Strapi;Svelte;Vue.js;Yii 2,Docker;Make;npm;Pacman;Pip;pnpm;Vite,Electron;GTK;Ionic,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;SQL;TypeScript,AngularJS;ASP.NET CORE;Express;Node.js;React,Docker;Gradle;npm;Unity 3D;Webpack;Yarn,.NET Framework (1.0 - 4.8);Electron;React Native,Full-Stack Developer,3
,,,,Front-End Developer,2
C#;HTML/CSS;Python;SQL,Blazor,,.NET (5+) ,Full-Stack Developer,3
Python;TypeScript,,Docker;Homebrew;Make;npm;Pip;Terraform;Webpack;Yarn,,Back-End Developer,3
C;C++;JavaScript;Lua;Python;Rust;SQL;TypeScript,,Docker;Make;Ninja;npm,NumPy;OpenCL;OpenGL;Pandas;Scikit-Learn,Game Or Graphics Developer,3
Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Django;Laravel;Node.js;React;Spring Boot;WordPress,Docker;Kubernetes;Maven (build tool);npm;Pip;Unity 3D;Vite;Webpack,Ionic;RabbitMQ;React Native,Full-Stack Developer,3
HTML/CSS;JavaScript;PHP;SQL;TypeScript,jQuery,Composer,,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;SQL,ASP.NET;ASP.NET CORE;React,npm;NuGet;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI,Full-Stack Developer,0
HTML/CSS;JavaScript;SQL;TypeScript,Angular;Express;NestJS;Next.js;Node.js;React;WordPress,Composer;npm;Pip;Yarn,Apache Kafka,Full-Stack Developer,3
C;C#;C++;HTML/CSS;JavaScript;TypeScript,ASP.NET;Node.js,Docker;MSBuild;npm;pnpm;Podman,.NET (5+) ;DirectX,Back-End Developer,3
Go;Rust;Zig,,Ansible;Docker;Homebrew;Kubernetes,,Devops Specialist,6
Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;SQL;TypeScript,ASP.NET CORE;jQuery,npm;NuGet,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
Lua;Python;TypeScript,Astro;Express;FastAPI;Next.js;Node.js;React,Bun;Docker;npm;Pip;pnpm;Podman;Vite;Webpack,,Full-Stack Developer,3
Java;TypeScript,Angular;Spring Boot,Docker;Maven (build tool);npm,RabbitMQ;Spring Framework,Full-Stack Developer,5
Java,Spring Boot,Maven (build tool),,Full-Stack Developer,5
C#;HTML/CSS;JavaScript;SQL;TypeScript,Angular;ASP.NET;ASP.NET CORE;jQuery,MSBuild;Visual Studio Solution,.NET (5+) ;.NET Framework (1.0 - 4.8),Full-Stack Developer,0
C;C#;C++;Haskell;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;Flask;jQuery;Next.js;Node.js;Vue.js;WordPress,Chocolatey;Docker;Godot;npm;NuGet;Pip,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;OpenGL;React Native;Roslyn;Torch/PyTorch,Full-Stack Developer,0
Assembly;C;C++;HTML/CSS;JavaScript;Objective-C;PHP;Python;SQL,AngularJS;jQuery;Node.js;React,Chocolatey;Docker;npm;Visual Studio Solution,.NET (5+) ;Ionic;RabbitMQ;React Native,Front-End Developer,2
Python,,,,Qa Or Test Developer,3
Bash/Shell (all shells);C#;Go;PowerShell;Python;SQL,,Ansible;Chocolatey;Docker;Homebrew;Kubernetes;Podman;Terraform,.NET (5+) ;.NET Framework (1.0 - 4.8),Security Professional,0
HTML/CSS;JavaScript;PHP;TypeScript,jQuery;Laravel;React,Composer;Docker;Kubernetes;npm;Vite,,Full-Stack Developer,3
HTML/CSS;JavaScript,,,,Back-End Developer,3
C#;Go;Groovy;HTML/CSS;Java;JavaScript;SQL,AngularJS;ASP.NET;Next.js;Node.js;Spring Boot,Ansible;Kubernetes;Maven (build tool);npm;NuGet;Webpack,.NET Framework (1.0 - 4.8);Spring Framework,Full-Stack Developer,5
C#;JavaScript;SQL;TypeScript,ASP.NET;ASP.NET CORE;jQuery;Vue.js,NuGet;Visual Studio Solution,.NET (5+) ,Full-Stack Developer,0
Assembly;C;C++;PowerShell;Python;SQL,,Docker;Google Test;Unreal Engine;Visual Studio Solution,NumPy;OpenGL;Pandas,Research & Development Role,6
Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Prolog;Python;R;SQL;TypeScript,Django;Express;Flask;jQuery;NestJS;Node.js,Docker;Homebrew;npm;Pip;Terraform,Apache Kafka;Keras;Pandas;TensorFlow,Full-Stack Developer,3
C#;HTML/CSS;JavaScript;SQL;TypeScript;Visual Basic (.Net),Angular;ASP.NET;ASP.NET CORE;Blazor;React,Chocolatey;Docker;Homebrew;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution;Webpack;Yarn,.NET (5+) ;.NET Framework (1.0 - 4.8);Apache Kafka;RabbitMQ,Back-End Developer,0
Bash/Shell (all shells);C;Clojure;Dart;Lua,WordPress,Docker;Homebrew;Kubernetes;Maven (build tool),Flutter,Full-Stack Developer,3
Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Deno;FastAPI;Node.js;React,APT;Docker;Gradle;Kubernetes;Maven (build tool);npm;Pacman;Pip;Unreal Engine,Apache Kafka;Apache Spark;NumPy;OpenGL;Pandas;Spring Framework;Torch/PyTorch,Full-Stack Developer,3
HTML/CSS;JavaScript;PHP;SQL;TypeScript,Angular;Node.js,Ansible;Composer;npm;Yarn,,Full-Stack Developer,3
JavaScript;Python;SQL,,Docker;Pip,Apache Spark;Hadoop;NumPy;Pandas,Data Or Business Analyst,6
Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,ASP.NET;ASP.NET CORE;Flask;Node.js;React,Docker;Google Test;MSBuild;Ninja;npm;NuGet;Pacman;Pip;Visual Studio Solution;Yarn,.NET (5+) ;Hugging Face Transformers;NumPy;Pandas;Scikit-Learn,Devops Specialist,6
Go;HTML/CSS;JavaScript;SQL;TypeScript,Angular;NestJS;Node.js,Docker;npm;Terraform;Unity 3D;Vite,Capacitor;RabbitMQ,Engineering Manager,6
C#;HTML/CSS;JavaScript;PHP;SQL;TypeScript;Visual Basic (.Net),Angular;AngularJS;ASP.NET;ASP.NET CORE;Blazor;jQuery;Node.js;React;Vue.js,Ansible;Chocolatey;Docker;Kubernetes;MSBuild;npm;NuGet;Visual Studio Solution;Webpack,.NET (5+) ;.NET Framework (1.0 - 4.8);.NET MAUI;Cordova;Electron;RabbitMQ;React Native;Roslyn;Xamarin,Full-Stack Developer,0
C#,ASP.NET CORE;Blazor,Docker;NuGet,.NET (5+) ;RabbitMQ,Back-End Developer,3
